suburb,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,mean_crime_rate
DIANELLA,1483,1662,1421,1282,1485,1133,1156,1283,1192,1344.111111111111
DOUBLEVIEW,955,761,620,748,793,390,394,610,502,641.4444444444445
DUNCRAIG,514,590,472,483,473,386,433,514,617,498.0
EAST CANNINGTON,447,375,344,370,463,325,360,453,558,410.55555555555554
EAST FREMANTLE,702,697,605,679,566,624,565,539,512,609.8888888888889
EAST PERTH,1949,1874,1728,1668,2582,1902,1816,2061,2780,2040.0
EAST VICTORIA PARK,2077,1814,1601,1879,1717,1528,1877,1688,1801,1775.7777777777778
EDEN HILL,327,435,279,262,309,331,263,204,228,293.1111111111111
EDGEWATER,379,268,287,214,265,246,305,159,226,261.0
EGLINTON,110,101,153,128,114,113,183,126,164,132.44444444444446
ELLENBROOK,2109,2267,2027,2298,2254,1927,1919,2013,2500,2146.0
EMBLETON,366,418,336,403,401,367,277,277,236,342.3333333333333
FERNDALE,403,296,199,260,368,214,210,310,233,277.0
FLOREAT,283,289,288,349,285,207,283,348,251,287.0
FORRESTDALE,276,300,273,341,325,356,234,277,293,297.22222222222223
FORRESTFIELD,1598,1409,1322,1469,1308,1074,914,1283,1345,1302.4444444444443
FREMANTLE,702,697,605,679,566,624,565,539,512,609.8888888888889
GIDGEGANNUP,119,109,82,96,123,92,88,72,74,95.0
GIRRAWHEEN,1162,1141,965,1337,1306,1135,982,1191,1013,1136.888888888889
GLEN FORREST,148,101,128,171,139,141,101,74,58,117.88888888888889
GLENDALOUGH,323,290,418,375,443,247,292,289,340,335.22222222222223
GNANGARA,73,82,75,81,59,61,78,52,53,68.22222222222223
GOLDEN BAY,305,280,290,329,395,325,308,309,412,328.1111111111111
GOOSEBERRY HILL,108,107,124,115,118,126,65,59,81,100.33333333333333
GOSNELLS,3752,3658,3070,3458,3776,3149,3036,2666,3242,3311.8888888888887
GREENMOUNT,224,171,213,203,143,124,115,114,176,164.77777777777777
GREENWOOD,645,622,730,718,521,585,507,482,526,592.8888888888889
GUILDFORD,442,321,258,257,337,252,264,227,238,288.44444444444446
GWELUP,175,141,266,212,195,114,196,182,232,190.33333333333334
HAMERSLEY,317,315,236,280,300,314,191,270,255,275.3333333333333
HAMILTON HILL,1707,1458,1612,1608,1983,1405,1378,1815,1404,1596.6666666666667
HAMMOND PARK,277,244,234,336,293,214,310,359,202,274.3333333333333
HARRISDALE,497,391,393,485,395,355,336,477,481,423.3333333333333
HAYNES,202,144,207,265,340,232,239,263,315,245.22222222222223
HAZELMERE,164,157,83,93,145,100,82,94,104,113.55555555555556
HEATHRIDGE,609,560,397,255,349,291,403,308,311,387.0
HELENA VALLEY,144,203,134,148,169,138,101,82,74,132.55555555555554
HENLEY BROOK,250,144,216,201,178,131,142,165,235,184.66666666666666
HERNE HILL,107,137,117,59,67,61,85,52,61,82.88888888888889
HIGH WYCOMBE,875,935,746,718,701,586,470,515,651,688.5555555555555
HIGHGATE,426,434,439,517,454,583,409,552,595,489.8888888888889
HILBERT,166,170,206,290,269,215,315,243,238,234.66666666666666
HILLARYS,1034,866,793,896,839,793,711,843,803,842.0
HILLMAN,152,199,199,114,256,114,143,132,103,156.88888888888889
HILTON,701,557,523,412,453,390,394,354,423,467.44444444444446
HOCKING,223,203,174,235,172,177,168,125,193,185.55555555555554
HOPE VALLEY,60,43,41,27,41,41,27,27,29,37.333333333333336
HOPELAND,12,26,8,27,23,13,15,11,8,15.88888888888889
